Place,Latitude,Longitude
Opwetten,51.45972,5.53056
Oranjeoord,51.66389,4.44583
Oss,51.76528,5.51806
Ossendrecht,51.39444,4.32639
Ostaaijen,51.44722,4.60278
Otterdijk,51.41111,5.69167
Oud-Drimmelen,51.69722,4.77639
Oudemolen,51.65000,4.46667
Oude Molen,51.53750,4.28333
Oud-Empel,51.73611,5.30278
Oudenbosch,51.58889,4.53472
Oudendijk,51.80972,4.98056
Oudenmolen,51.37778,5.56250
Oude Strumpt,51.44167,4.83611
Oude Waranda,51.63611,5.97083
Oud Gastel,51.58750,4.45972
Oud-Heusden,51.72361,5.14028
Oventje,51.67778,5.67500
Overa,51.54167,4.74583
Overakker,51.43472,5.62639
Overberg,51.44167,4.37222
Overbrug,51.49583,5.64167
Overlangel,51.77500,5.67083
Overloon,51.57083,5.94722
Overschot,51.49861,5.74861
Pandelaarse Kampen,51.56389,5.66528
Pandgat,51.51806,5.28194
Pannenschop,51.44583,5.83333
Papenvoort,51.64861,5.86944
Park,51.64167,5.82500
Peeldijk,51.53056,5.64722
Peelkant,51.61806,5.86389
Peelsehuis,51.62500,5.66944
Peelstraat,51.64861,5.82500
Peerenboom,51.72222,4.91389
Pelikaan,51.64583,4.56806
Plaatsluis,51.37778,4.33333
Plantage Centrum,51.46250,4.37500
Plein,51.67917,5.42222
Poeldonk,51.67917,5.36667
Polsdonken,51.52361,5.29306
Prinsenbeek,51.59861,4.71250
Putselaar,51.68333,5.85972
Putte,51.35972,4.39583
Quirijnstok,51.59722,5.10278
Raakeind,51.54583,4.89722
Raam,51.61806,5.22083
Raamberg,51.49861,4.66944
Raamsdonk,51.68750,4.90833
Raamsdonksveer,51.69722,4.87361
Rakens,51.53333,4.81806
Rakt,51.67639,5.58194
Ravensgat,51.49167,5.72500
Ravenstein,51.79583,5.65000
Reek,51.74583,5.68194
Ren,51.53611,5.70417
Reth,51.43333,4.94722
Reusel,51.36250,5.16528
Reuth,51.44444,4.89861
Riel,51.42361,5.52222
Riethoven,51.35417,5.38750
Rietven,51.62222,5.71250
Rijen,51.59028,4.91944
Rijkerbeek,51.60417,5.63194
Rijkevoort,51.65694,5.88611
Rijpelberg,51.48333,5.71389
Rijsbergen,51.51806,4.69722
Rijswijk,51.79722,5.02500
Rijt,51.29583,5.30972
Rinkveld,51.40000,5.78611
Rith,51.56528,4.72500
Rondveld,51.62083,5.89722
Roond,51.57917,5.29167
Roosberg,51.56250,4.82361
Roosendaal,51.53056,4.46528
Rootvlaas,51.49722,5.72639
Roovert,51.47222,5.08194
Rosmalen,51.71667,5.36528
Rucphen,51.53194,4.55833
Rugdijk,51.59167,5.09722
Ruimel,51.65139,5.34444
Rukven,51.67639,5.47639
Rul,51.39444,5.57778
Rullen,51.49583,5.55556
Rusven,51.71806,5.67222
Sambeek,51.63611,5.96667
Schadewijk,51.35833,5.34028
Schadron,51.63611,5.65556
Schafferden,51.59028,5.99167
Schaft,51.29861,5.45556
Schaijk,51.74583,5.63194
Schaluinen,51.42639,4.93472
Schans,51.60694,4.51111
Scheepstal,51.50000,5.67917
Schelm,51.36111,5.86806
Scherpenering,51.44306,5.35833
Schijf,51.49861,4.56111
Schijndel,51.62222,5.43194
Schoelieberg,51.44028,4.38194
Schoor,51.54167,5.45139
Schoordijk,51.27778,5.59306
Schoorstraat,51.62639,5.11806
Schoot,51.40139,5.37917
Schorvert,51.61667,5.28333
Schotsheuvel,51.72500,5.45000
Schouw,51.48750,5.73333
Schutsboom,51.50139,5.76944
Selissen,51.60556,5.32361
Sengelsbroek,51.28889,5.33750
Seters,51.60972,4.86806
s Gravenmoer,51.65833,4.94028
s-Hertogenbosch,51.70000,5.30417
Sint Agatha,51.71250,5.91250
Sint Anthonis,51.62639,5.88194
Sint Hubert,51.67778,5.80833
Sint-Michielsgestel,51.64167,5.35278
